behavior,Qp1,Qp2,evidence,arbitration,subject
0,-0.08197,-0.071921,0.1757,-1.0891,1
0,-0.12963,-0.1121,-0.73519,-1.0891,1
0,-0.1483,-0.088354,-0.19585,-0.97633,1
1,-0.18382,-0.067743,-0.96232,-0.97554,1
0,-0.22882,-0.072823,-1.8848,-0.93883,1
1,-0.26569,-0.072739,-1.748,-0.90093,1
1,-0.30854,-0.068885,-1.8452,-0.75798,1
0,-0.33177,-0.03621,-0.054204,-0.69146,1
0,-0.3752,-0.038343,-1.9292,-0.59445,1
1,-0.39091,-0.044193,-0.71967,-0.48307,1
0,-0.38194,-0.044859,-0.64288,-0.60525,1
0,-0.35472,-0.042993,-1.3093,-0.712,1
1,-0.36056,-0.034888,-0.25592,-0.62056,1
0,-0.37434,-0.086097,0.97477,-0.52264,1
1,-0.37043,-0.025307,1.7003,-0.49028,1
1,-0.39782,0.0099989,-0.12177,-0.36572,1
0,-0.3852,0.030548,-0.074704,-0.43977,1
0,-0.37061,0.051816,-0.12598,-0.51298,1
1,-0.35061,0.072527,-0.3555,-0.58518,1
1,-0.33923,0.027307,0.85422,-0.61261,1
1,-0.33508,0.04363,0.10343,-0.5814,1
1,-0.31024,0.063298,-0.58108,-0.62103,1
1,-0.28605,0.10006,0.054373,-0.65983,1
1,-0.25902,0.091838,-1.0747,-0.66279,1
1,-0.24657,0.078807,-0.33655,-0.62123,1
0,-0.25987,0.051026,0.15695,-0.43935,1
1,-0.29825,0.081818,-0.70974,-0.30987,1
0,-0.31598,0.13318,0.82703,-0.18767,1
0,-0.33439,0.11907,-0.52974,-0.18317,1
0,-0.32459,0.063824,1.2734,-0.2988,1
1,-0.28962,0.0024844,0.51338,-0.41477,1
1,-0.25557,0.029517,-0.67593,-0.58185,1
0,-0.25708,0.033208,-0.24503,-0.55579,1
1,-0.24122,0.030514,-0.83838,-0.63511,1
1,-0.23386,0.050526,0.11037,-0.78655,1
0,-0.22207,0.036061,-0.25978,-0.80518,1
1,-0.23601,0.083592,0.83719,-0.74167,1
1,-0.22532,0.040597,0.8016,-0.74132,1
0,-0.21491,0.0075302,0.45799,-0.74098,1
0,-0.21748,0.025629,0.22802,-0.64693,1
1,-0.24541,0.047026,-0.63934,-0.55645,1
0,-0.27492,0.027623,-0.77191,-0.34915,1
1,-0.26899,-0.0038464,0.57497,-0.29508,1
0,-0.24588,-0.013114,-0.88515,-0.29564,1
0,-0.19911,-0.056091,-0.60092,-0.2962,1
1,-0.20787,-0.023752,0.49593,-0.1847,1
0,-0.20254,-0.07651,1.3584,-0.11341,1
1,-0.21468,-0.13543,1.3138,0.066482,1
1,-0.22189,-0.17898,0.95678,0.22955,1
1,-0.2497,-0.15348,-0.4884,0.39221,1
0,-0.2583,-0.19907,0.97554,0.54381,1
0,-0.23431,-0.17681,-0.45556,0.65836,1
0,-0.17859,-0.17149,-2.2928,0.58873,1
1,-0.13589,-0.16505,-1.7472,0.53556,1
1,-0.08969,-0.16884,-1.978,0.4982,1
1,-0.040074,-0.15241,-1.6592,0.61324,1
1,-0.02527,-0.1691,-0.29726,0.68225,1
1,-0.016632,-0.14512,0.20253,0.79666,1
1,-0.012843,-0.16075,0.092589,0.85964,1
1,-0.046134,-0.15962,-1.5712,0.76527,1
1,-0.060062,-0.11576,0.70647,0.71139,1
0,-0.089805,-0.16611,0.32396,0.61163,1
0,-0.13841,-0.20885,-0.68061,0.50548,1
1,-0.17997,-0.15239,0.083161,0.51731,1
0,-0.22506,-0.17412,-1.2944,0.45078,1
0,-0.24239,-0.21916,0.61688,0.38292,1
1,-0.23269,-0.27183,1.1854,0.27964,1
0,-0.22556,-0.32564,1.3256,0.17309,1
0,-0.23478,-0.35414,0.34099,0.099942,1
0,-0.22875,-0.37813,0.30368,-0.0098865,1
0,-0.22749,-0.39771,0.33229,-0.11287,1
1,-0.22396,-0.40421,-0.22352,-0.22526,1
0,-0.17545,-0.33634,0.22021,-0.19274,1
0,-0.11896,-0.36457,-1.505,-0.24161,1
0,-0.082447,-0.37948,-1.2045,-0.28985,1
0,-0.027242,-0.37639,-2.3528,-0.26975,1
0,0.024206,-0.34321,-1.1321,-0.20722,1
1,0.067372,-0.30712,-0.70674,-0.1474,1
0,0.097852,-0.26443,0.021796,-0.090209,1
1,0.11135,-0.2543,-0.48098,0.066793,1
1,0.084056,-0.24569,-1.0714,0.091909,1
1,0.062095,-0.20964,0.11571,0.11611,1
1,0.090401,-0.19466,-0.88289,0.21311,1
0,0.13761,-0.14863,-0.50892,0.30321,1
0,0.15238,-0.10883,0.52872,0.38674,1
1,0.19104,-0.10906,-1.8117,0.37854,1
1,0.20672,-0.11935,-0.56031,0.3705,1
1,0.21968,-0.13439,-0.28459,0.36264,1
0,0.19879,-0.1415,-0.8761,0.28661,1
0,0.22352,-0.15471,-0.80725,0.27878,1
0,0.25222,-0.14619,-1.1292,0.3974,1
1,0.21314,-0.1467,-1.8182,0.282,1
1,0.15544,-0.17109,-1.6891,0.20921,1
0,0.12352,-0.21873,0.14271,0.13567,1
1,0.10399,-0.27267,0.849,0.061595,1
