behavior,Qp1,Qp2,evidence,arbitration,subject
0,-1.7671,-0.40911,-1.8963,-1.6354,1
0,-1.4206,1.0523,0.8183,-1.4103,1
0,-0.74152,-0.15418,0.16978,-1.3102,1
0,-1.0216,0.28279,-0.20344,-1.3084,1
0,-1.4246,1.3316,0.31271,-1.3083,1
0,-0.97564,0.84609,-0.34226,-1.3083,1
0,-0.72065,0.37086,-0.13418,-1.3083,1
0,-0.82565,-0.72087,0.69529,-1.1774,1
0,-1.9222,1.0377,0.28923,-0.99806,1
0,-1.038,0.66777,-0.95769,-1.0063,1
0,-1.0745,1.5142,0.51003,-1.006,1
0,-0.64731,-1.6133,2.511,-0.76836,1
0,-0.86119,-1.9245,-0.26331,-0.7552,1
0,-1.573,-2.0625,-1.0112,-0.75458,1
0,-1.6064,-2.0279,-0.35559,-0.75459,1
0,-1.53,-1.4093,0.22104,-0.75459,1
0,-0.66868,-1.1335,-1.0326,-0.75459,1
0,-1.2911,-1.0382,-0.95604,-0.75459,1
0,-1.7881,-1.5274,-0.39274,-0.75459,1
0,-1.6165,-0.93333,0.087183,-0.75459,1
0,-0.59477,-1.6458,-0.74621,-0.75459,1
0,-1.2486,-1.3091,-0.73296,-0.75459,1
0,-0.57751,-1.3344,-1.0859,-0.75459,1
1,0.23373,-1.1299,-1.0524,-0.75459,1
0,-0.35201,0.40154,0.62309,-0.73184,1
0,-0.84734,0.26774,-0.77121,-0.73874,1
0,-0.83159,-0.35552,0.29454,-0.62123,1
0,-0.44098,-1.0429,-0.060268,-0.62416,1
0,-0.38366,-0.95173,-0.32212,-0.62442,1
0,-0.84882,-0.24821,-0.12716,-0.62442,1
0,-0.87065,-0.99671,0.42176,-0.62442,1
0,-1.6514,-0.25032,-0.43777,-0.62442,1
0,-1.3372,-0.79115,-0.1309,-0.62442,1
0,-0.93255,-0.44634,-0.44283,-0.62442,1
1,1.4647,0.18682,-2.3848,-0.62442,1
1,1.0313,-0.44158,-0.17166,-0.62442,1
1,-0.2756,0.39271,-0.93796,-0.61563,1
0,0.28689,-0.43192,-0.10743,-0.6037,1
1,-0.31053,0.3109,-0.23447,-0.60409,1
0,-0.92337,-0.97048,0.3247,-0.53815,1
0,-1.1471,-0.04343,0.38491,-0.44809,1
1,0.246,0.74044,-1.0892,-0.4479,1
1,-0.42941,1.0651,-0.77022,-0.4475,1
0,-1.5917,0.87472,-1.464,-0.4475,1
1,-1.4123,-1.3142,1.786,-0.23651,1
0,-0.46823,0.63969,0.67056,-0.14964,1
0,-1.6715,0.5257,-1.5921,-0.16316,1
0,-1.1822,1.0962,-0.29693,-0.16743,1
0,-1.3931,-1.057,1.7121,0.011101,1
0,-1.559,1.8035,2.5203,0.17829,1
0,-0.51409,-1.7231,2.2405,0.30725,1
0,0.35367,-2.012,-1.0259,0.30796,1
0,0.51135,0.27789,1.9186,0.3478,1
0,-0.10506,0.79665,-0.49582,0.32138,1
0,-0.3679,-1.1534,1.4359,0.36665,1
0,0.36053,-1.3271,-0.99173,0.36814,1
1,1.0575,-0.75941,-0.53442,0.36805,1
0,0.037531,-0.28032,-0.99413,0.35533,1
0,-0.79007,-0.5869,-0.96155,0.35092,1
0,-1.8816,0.30362,-0.63442,0.35088,1
0,-1.387,0.83899,-0.34047,0.35089,1
0,-1.6367,0.12373,0.12877,0.41566,1
0,-0.55673,-0.69134,-0.70215,0.41436,1
0,-0.42808,-0.071465,0.16339,0.41413,1
0,-0.69496,1.0271,0.51971,0.41414,1
0,-0.47355,-0.23763,0.74898,0.44835,1
1,0.12165,-1.4487,0.26932,0.44896,1
1,0.81236,1.7851,2.3271,0.51327,1
